CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_level,retention_suggestions
563,France,Female,56,0,182340,1,0,0,47230,0.685,High,Provide credit-building resources and supportive financial guidance. | Offer personalized senior benefits and simplified service options. | Incorporate French cultural preferences in marketing and service delivery. | Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days.
610,Spain,Male,45,2,128540,1,1,0,68310,0.25,Low,Highlight community-focused initiatives popular in Spanish markets. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning.
737,India,Female,38,6,60340,2,1,1,98230,0.085,Low,Personalize communications with female-focused financial empowerment content.
769,Germany,Male,32,9,21780,2,1,1,125780,0.02,Low,Leverage local market insights for tailored German-language communications. | Offer premium investment opportunities and advanced financial tools. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
746,France,Female,31,7,48970,2,1,1,93410,0.065,Low,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content. | Offer low-balance incentives and educational content on savings growth.
691,Spain,Male,40,6,90340,2,1,1,80210,0.07,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets.
725,Germany,Female,43,8,136210,1,1,0,65970,0.68,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days.
663,India,Male,29,4,33890,2,1,1,74840,0.07,Low,Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning. | Target with digital-first initiatives and mobile app engagement features.
707,France,Female,36,5,78940,3,1,1,101560,0.775,High,Incorporate French cultural preferences in marketing and service delivery. | Review product complexity and offer simplified premium packages. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation.
619,Spain,Male,50,3,147210,1,1,0,59210,0.51,Medium,Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship. | Highlight community-focused initiatives popular in Spanish markets. | Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning.
601,Germany,Female,53,2,161430,1,0,0,55220,0.78,High,Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Trigger immediate churn-prevention workflow with outbound call escalation. | Leverage local market insights for tailored German-language communications. | Assign a dedicated relationship manager for proactive high-value account outreach.
574,India,Male,56,1,178230,1,0,0,48890,0.605,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Assign a dedicated relationship manager for proactive high-value account outreach. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Provide credit-building resources and supportive financial guidance.
639,France,Female,43,4,100780,2,1,1,85940,0.105,Low,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
681,Spain,Male,33,6,48190,2,1,1,90780,0.075,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets. | Offer low-balance incentives and educational content on savings growth.
715,Germany,Female,30,7,40210,2,1,1,104780,0.01,Low,Offer low-balance incentives and educational content on savings growth. | Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content.
651,India,Male,48,5,122430,1,1,0,71840,0.525,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning.
607,France,Female,52,3,139780,1,1,0,63890,0.815,High,Incorporate French cultural preferences in marketing and service delivery. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation.
729,Spain,Male,37,8,71320,3,1,1,96890,0.685,High,Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning. | Review product complexity and offer simplified premium packages. | Trigger immediate churn-prevention workflow with outbound call escalation.
762,Germany,Female,35,9,27430,2,1,1,115430,0.055,Low,Recognize long-term loyalty with exclusive perks and anniversary communications. | Leverage local market insights for tailored German-language communications. | Offer premium investment opportunities and advanced financial tools. | Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content.
589,India,Male,55,2,152780,1,0,0,55940,0.72,High,Offer investment-focused education and growth-oriented financial planning. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Trigger immediate churn-prevention workflow with outbound call escalation. | Assign a dedicated relationship manager for proactive high-value account outreach.
565,France,Female,57,1,183890,1,0,0,47610,0.7,High,Assign a dedicated relationship manager for proactive high-value account outreach. | Personalize communications with female-focused financial empowerment content. | Provide enhanced onboarding support and milestone rewards for early tenure. | Bundle one additional product with loyalty pricing to improve relationship depth. | Offer personalized senior benefits and simplified service options.
613,Spain,Male,46,3,130120,1,1,0,69970,0.245,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth.
739,India,Female,39,7,61980,2,1,1,99560,0.085,Low,Personalize communications with female-focused financial empowerment content.
771,Germany,Male,33,10,22540,2,1,1,127340,0.015,Low,Offer investment-focused education and growth-oriented financial planning. | Offer low-balance incentives and educational content on savings growth. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Leverage local market insights for tailored German-language communications. | Offer premium investment opportunities and advanced financial tools.
748,France,Female,32,8,50340,2,1,1,94890,0.085,Low,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content.
693,Spain,Male,41,7,92110,2,1,1,81560,0.09,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets.
727,Germany,Female,45,9,138430,1,1,0,66980,0.8,High,Leverage local market insights for tailored German-language communications. | Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Recognize long-term loyalty with exclusive perks and anniversary communications.
665,India,Male,30,5,35140,2,1,1,76120,0.085,Low,Offer investment-focused education and growth-oriented financial planning. | Offer low-balance incentives and educational content on savings growth.
709,France,Female,38,6,80210,3,1,1,103780,0.82,High,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content. | Trigger immediate churn-prevention workflow with outbound call escalation. | Review product complexity and offer simplified premium packages.
621,Spain,Male,51,4,149340,1,1,0,60890,0.505,Medium,Offer investment-focused education and growth-oriented financial planning. | Bundle one additional product with loyalty pricing to improve relationship depth. | Schedule follow-up engagement within 14 days to reinforce relationship. | Highlight community-focused initiatives popular in Spanish markets. | Launch a personalized digital engagement campaign in the next 7 days.
603,Germany,Female,54,3,163780,1,0,0,56340,0.8,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Assign a dedicated relationship manager for proactive high-value account outreach. | Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days.
577,India,Male,57,2,179980,1,0,0,49120,0.635,High,Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning. | Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation. | Provide credit-building resources and supportive financial guidance.
641,France,Female,44,5,102430,2,1,1,87210,0.16,Low,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content.
683,Spain,Male,34,7,49980,2,1,1,92130,0.105,Low,Offer investment-focused education and growth-oriented financial planning. | Offer low-balance incentives and educational content on savings growth. | Highlight community-focused initiatives popular in Spanish markets.
717,Germany,Female,31,8,41780,2,1,1,106340,0.02,Low,Offer low-balance incentives and educational content on savings growth. | Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content.
653,India,Male,49,6,123980,1,1,0,72910,0.45,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth.
609,France,Female,53,4,141230,1,1,0,64980,0.87,High,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation.
731,Spain,Male,38,9,73240,3,1,1,98120,0.715,High,Trigger immediate churn-prevention workflow with outbound call escalation. | Review product complexity and offer simplified premium packages. | Highlight community-focused initiatives popular in Spanish markets. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer investment-focused education and growth-oriented financial planning.
764,Germany,Female,36,10,28110,2,1,1,116780,0.06,Low,Offer low-balance incentives and educational content on savings growth. | Personalize communications with female-focused financial empowerment content. | Leverage local market insights for tailored German-language communications. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer premium investment opportunities and advanced financial tools.
592,India,Male,56,3,154980,1,0,0,56870,0.715,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Assign a dedicated relationship manager for proactive high-value account outreach. | Trigger immediate churn-prevention workflow with outbound call escalation. | Offer investment-focused education and growth-oriented financial planning.
567,France,Female,58,2,185120,1,0,0,48190,0.67,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Offer personalized senior benefits and simplified service options. | Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content.
615,Spain,Male,47,4,131780,1,1,0,71210,0.2,Low,Offer investment-focused education and growth-oriented financial planning. | Highlight community-focused initiatives popular in Spanish markets. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth.
741,India,Female,40,8,63410,2,1,1,100980,0.17,Low,Personalize communications with female-focused financial empowerment content.
773,Germany,Male,34,11,23280,2,1,1,128540,0.025,Low,Leverage local market insights for tailored German-language communications. | Offer investment-focused education and growth-oriented financial planning. | Offer premium investment opportunities and advanced financial tools. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer low-balance incentives and educational content on savings growth.
750,France,Female,33,9,51890,2,1,1,96140,0.055,Low,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery. | Recognize long-term loyalty with exclusive perks and anniversary communications.
695,Spain,Male,42,8,93980,2,1,1,82950,0.07,Low,Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning.
729,Germany,Female,46,10,140780,1,1,0,67840,0.8,High,Launch a personalized digital engagement campaign in the next 7 days. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content.
667,India,Male,31,6,36410,2,1,1,77290,0.075,Low,Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
711,France,Female,39,7,81540,3,1,1,104980,0.805,High,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery. | Trigger immediate churn-prevention workflow with outbound call escalation. | Review product complexity and offer simplified premium packages.
623,Spain,Male,52,5,151230,1,1,0,61980,0.46,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Assign a dedicated relationship manager for proactive high-value account outreach. | Bundle one additional product with loyalty pricing to improve relationship depth. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days.
605,Germany,Female,55,4,165340,1,0,0,57230,0.795,High,Assign a dedicated relationship manager for proactive high-value account outreach. | Leverage local market insights for tailored German-language communications. | Launch a personalized digital engagement campaign in the next 7 days. | Personalize communications with female-focused financial empowerment content. | Bundle one additional product with loyalty pricing to improve relationship depth.
579,India,Male,58,3,181780,1,0,0,49890,0.635,High,Offer investment-focused education and growth-oriented financial planning. | Trigger immediate churn-prevention workflow with outbound call escalation. | Provide credit-building resources and supportive financial guidance. | Assign a dedicated relationship manager for proactive high-value account outreach. | Offer personalized senior benefits and simplified service options.
643,France,Female,45,6,104560,2,1,1,88340,0.16,Low,Incorporate French cultural preferences in marketing and service delivery. | Personalize communications with female-focused financial empowerment content.
685,Spain,Male,35,8,51690,2,1,1,93230,0.11,Low,Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning.
719,Germany,Female,32,9,42780,2,1,1,107890,0.015,Low,Personalize communications with female-focused financial empowerment content. | Offer low-balance incentives and educational content on savings growth. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Leverage local market insights for tailored German-language communications.
655,India,Male,50,7,125430,1,1,0,73980,0.5,Medium,Bundle one additional product with loyalty pricing to improve relationship depth. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Schedule follow-up engagement within 14 days to reinforce relationship.
611,France,Female,54,5,142890,1,1,0,65930,0.865,High,Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
733,Spain,Male,39,10,75120,3,1,1,99210,0.715,High,Highlight community-focused initiatives popular in Spanish markets. | Review product complexity and offer simplified premium packages. | Offer investment-focused education and growth-oriented financial planning. | Trigger immediate churn-prevention workflow with outbound call escalation. | Recognize long-term loyalty with exclusive perks and anniversary communications.
766,Germany,Female,37,11,28940,2,1,1,118230,0.125,Low,Offer premium investment opportunities and advanced financial tools. | Leverage local market insights for tailored German-language communications. | Personalize communications with female-focused financial empowerment content. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Offer low-balance incentives and educational content on savings growth.
594,India,Male,57,4,157120,1,0,0,57980,0.74,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days. | Provide credit-building resources and supportive financial guidance. | Offer investment-focused education and growth-oriented financial planning.
569,France,Female,59,3,186540,1,0,0,48940,0.665,High,Incorporate French cultural preferences in marketing and service delivery. | Assign a dedicated relationship manager for proactive high-value account outreach. | Trigger immediate churn-prevention workflow with outbound call escalation. | Bundle one additional product with loyalty pricing to improve relationship depth. | Offer personalized senior benefits and simplified service options.
617,Spain,Male,48,5,133980,1,1,0,72340,0.195,Low,Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth.
743,India,Female,41,9,64780,2,1,1,102430,0.14,Low,Personalize communications with female-focused financial empowerment content. | Recognize long-term loyalty with exclusive perks and anniversary communications.
775,Germany,Male,35,12,24110,2,1,1,129890,0.025,Low,Offer investment-focused education and growth-oriented financial planning. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Leverage local market insights for tailored German-language communications. | Offer low-balance incentives and educational content on savings growth. | Offer premium investment opportunities and advanced financial tools.
752,France,Female,34,10,53340,2,1,1,97280,0.07,Low,Personalize communications with female-focused financial empowerment content. | Offer premium investment opportunities and advanced financial tools. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Incorporate French cultural preferences in marketing and service delivery.
697,Spain,Male,43,9,95870,2,1,1,84230,0.08,Low,Recognize long-term loyalty with exclusive perks and anniversary communications. | Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning.
731,Germany,Female,47,11,142980,1,1,0,68970,0.795,High,Recognize long-term loyalty with exclusive perks and anniversary communications. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content. | Leverage local market insights for tailored German-language communications.
669,India,Male,32,7,37690,2,1,1,78410,0.09,Low,Offer low-balance incentives and educational content on savings growth. | Offer investment-focused education and growth-oriented financial planning.
713,France,Female,40,8,82890,3,1,1,106120,0.765,High,Review product complexity and offer simplified premium packages. | Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
625,Spain,Male,53,6,152890,1,1,0,63140,0.445,Medium,Highlight community-focused initiatives popular in Spanish markets. | Schedule follow-up engagement within 14 days to reinforce relationship. | Assign a dedicated relationship manager for proactive high-value account outreach. | Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning.
607,Germany,Female,56,5,167120,1,0,0,58120,0.785,High,Leverage local market insights for tailored German-language communications. | Offer personalized senior benefits and simplified service options. | Bundle one additional product with loyalty pricing to improve relationship depth. | Trigger immediate churn-prevention workflow with outbound call escalation. | Personalize communications with female-focused financial empowerment content.
581,India,Male,59,4,183430,1,0,0,50890,0.655,High,Bundle one additional product with loyalty pricing to improve relationship depth. | Provide credit-building resources and supportive financial guidance. | Offer investment-focused education and growth-oriented financial planning. | Assign a dedicated relationship manager for proactive high-value account outreach. | Trigger immediate churn-prevention workflow with outbound call escalation.
645,France,Female,46,7,106780,2,1,1,89410,0.15,Low,Personalize communications with female-focused financial empowerment content. | Incorporate French cultural preferences in marketing and service delivery.
687,Spain,Male,36,9,53340,2,1,1,94380,0.13,Low,Highlight community-focused initiatives popular in Spanish markets. | Offer investment-focused education and growth-oriented financial planning. | Recognize long-term loyalty with exclusive perks and anniversary communications.
721,Germany,Female,33,10,43780,2,1,1,109340,0.04,Low,Personalize communications with female-focused financial empowerment content. | Offer low-balance incentives and educational content on savings growth. | Leverage local market insights for tailored German-language communications. | Recognize long-term loyalty with exclusive perks and anniversary communications.
657,India,Male,51,8,127560,1,1,0,75120,0.5,Medium,Schedule follow-up engagement within 14 days to reinforce relationship. | Bundle one additional product with loyalty pricing to improve relationship depth. | Launch a personalized digital engagement campaign in the next 7 days. | Offer investment-focused education and growth-oriented financial planning.
613,France,Female,55,6,144430,1,1,0,66840,0.89,High,Incorporate French cultural preferences in marketing and service delivery. | Trigger immediate churn-prevention workflow with outbound call escalation. | Launch a personalized digital engagement campaign in the next 7 days. | Bundle one additional product with loyalty pricing to improve relationship depth. | Personalize communications with female-focused financial empowerment content.
735,Spain,Male,40,11,76980,3,1,1,100430,0.71,High,Highlight community-focused initiatives popular in Spanish markets. | Recognize long-term loyalty with exclusive perks and anniversary communications. | Trigger immediate churn-prevention workflow with outbound call escalation. | Review product complexity and offer simplified premium packages. | Offer investment-focused education and growth-oriented financial planning.
