CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
574,India,Male,56,1,178230,1,0,0,48890
639,France,Female,43,4,100780,2,1,1,85940
681,Spain,Male,33,6,48190,2,1,1,90780
715,Germany,Female,30,7,40210,2,1,1,104780
651,India,Male,48,5,122430,1,1,0,71840
607,France,Female,52,3,139780,1,1,0,63890
729,Spain,Male,37,8,71320,3,1,1,96890
762,Germany,Female,35,9,27430,2,1,1,115430
589,India,Male,55,2,152780,1,0,0,55940
565,France,Female,57,1,183890,1,0,0,47610
613,Spain,Male,46,3,130120,1,1,0,69970
739,India,Female,39,7,61980,2,1,1,99560
771,Germany,Male,33,10,22540,2,1,1,127340
748,France,Female,32,8,50340,2,1,1,94890
693,Spain,Male,41,7,92110,2,1,1,81560
727,Germany,Female,45,9,138430,1,1,0,66980
665,India,Male,30,5,35140,2,1,1,76120
709,France,Female,38,6,80210,3,1,1,103780
621,Spain,Male,51,4,149340,1,1,0,60890
603,Germany,Female,54,3,163780,1,0,0,56340
577,India,Male,57,2,179980,1,0,0,49120
641,France,Female,44,5,102430,2,1,1,87210
683,Spain,Male,34,7,49980,2,1,1,92130
717,Germany,Female,31,8,41780,2,1,1,106340
653,India,Male,49,6,123980,1,1,0,72910
609,France,Female,53,4,141230,1,1,0,64980
731,Spain,Male,38,9,73240,3,1,1,98120
764,Germany,Female,36,10,28110,2,1,1,116780
592,India,Male,56,3,154980,1,0,0,56870
567,France,Female,58,2,185120,1,0,0,48190
615,Spain,Male,47,4,131780,1,1,0,71210
741,India,Female,40,8,63410,2,1,1,100980
773,Germany,Male,34,11,23280,2,1,1,128540
750,France,Female,33,9,51890,2,1,1,96140
695,Spain,Male,42,8,93980,2,1,1,82950
729,Germany,Female,46,10,140780,1,1,0,67840
667,India,Male,31,6,36410,2,1,1,77290
711,France,Female,39,7,81540,3,1,1,104980
623,Spain,Male,52,5,151230,1,1,0,61980
605,Germany,Female,55,4,165340,1,0,0,57230
579,India,Male,58,3,181780,1,0,0,49890
643,France,Female,45,6,104560,2,1,1,88340
685,Spain,Male,35,8,51690,2,1,1,93230
719,Germany,Female,32,9,42780,2,1,1,107890
655,India,Male,50,7,125430,1,1,0,73980
611,France,Female,54,5,142890,1,1,0,65930
733,Spain,Male,39,10,75120,3,1,1,99210
766,Germany,Female,37,11,28940,2,1,1,118230
594,India,Male,57,4,157120,1,0,0,57980
569,France,Female,59,3,186540,1,0,0,48940
617,Spain,Male,48,5,133980,1,1,0,72340
743,India,Female,41,9,64780,2,1,1,102430
775,Germany,Male,35,12,24110,2,1,1,129890
752,France,Female,34,10,53340,2,1,1,97280
697,Spain,Male,43,9,95870,2,1,1,84230
731,Germany,Female,47,11,142980,1,1,0,68970
669,India,Male,32,7,37690,2,1,1,78410
713,France,Female,40,8,82890,3,1,1,106120
625,Spain,Male,53,6,152890,1,1,0,63140
607,Germany,Female,56,5,167120,1,0,0,58120
581,India,Male,59,4,183430,1,0,0,50890
645,France,Female,46,7,106780,2,1,1,89410
687,Spain,Male,36,9,53340,2,1,1,94380
721,Germany,Female,33,10,43780,2,1,1,109340
657,India,Male,51,8,127560,1,1,0,75120
613,France,Female,55,6,144430,1,1,0,66840
735,Spain,Male,40,11,76980,3,1,1,100430
768,Germany,Female,38,12,29780,2,1,1,119780
